timestamp,direction,topic,command
00:42:20.392,RECV,vision_topic,vision|ambilBola
00:42:20.398,SEND,cmd_status_topic_,received
00:42:20.398,SEND,vision_cmd_topic,hidupkanPenggiring
00:42:20.518,SEND,vision_cmd_topic,putarKiri
00:42:21.013,SEND,vision_cmd_topic,berhenti
00:42:21.166,SEND,vision_cmd_topic,putarKiri
00:42:21.239,SEND,vision_cmd_topic,berhenti
00:42:21.393,SEND,vision_cmd_topic,putarKiri
00:42:21.465,SEND,vision_cmd_topic,putarKiriPelan
00:42:23.068,SEND,vision_cmd_topic,maju
00:42:23.542,SEND,vision_cmd_topic,putarKananPelan
00:42:24.012,SEND,vision_cmd_topic,maju
00:42:24.490,SEND,vision_cmd_topic,putarKiriPelan
00:42:26.113,SEND,vision_cmd_topic,putarKiri
00:42:26.652,SEND,vision_cmd_topic,putarKiriPelan
00:42:26.725,SEND,vision_cmd_topic,majuPelan
00:42:26.882,SEND,vision_cmd_topic,putarKananPelan
00:42:28.575,SEND,vision_cmd_topic,maju
00:42:28.846,SEND,vision_cmd_topic,putarKiriPelan
00:42:30.101,SEND,vision_cmd_topic,maju
00:42:30.247,SEND,vision_cmd_topic,berhenti
00:42:30.320,SEND,vision_cmd_topic,maju
00:42:30.923,SEND,vision_cmd_topic,majuPelan
00:42:31.394,SEND,vision_cmd_topic,berhenti
00:42:31.394,SEND,cmd_status_topic_,[Vision] Selesai menjalankan perintah (vision_ambilBola)|1
00:42:31.416,RECV,vision_topic,vision|hadapGawang
00:42:31.418,SEND,cmd_status_topic_,received
00:42:31.418,SEND,vision_cmd_topic,hidupkanPenggiring
00:42:31.525,SEND,vision_cmd_topic,putarKiri
00:42:32.319,SEND,vision_cmd_topic,putarKiriPelan
00:42:32.792,SEND,vision_cmd_topic,berhenti
00:42:32.792,SEND,cmd_status_topic_,[Vision] Selesai menjalankan perintah (vision_hadapGawang)|1
00:43:26.641,RECV,vision_topic,vision|ambilBola
00:43:26.641,SEND,cmd_status_topic_,received
00:43:26.641,SEND,vision_cmd_topic,hidupkanPenggiring
00:43:26.739,SEND,vision_cmd_topic,putarKiriPelan
00:43:26.814,SEND,vision_cmd_topic,putarKiri
00:43:27.439,SEND,vision_cmd_topic,putarKiriPelan
00:43:28.040,SEND,vision_cmd_topic,maju
00:43:28.847,SEND,vision_cmd_topic,putarKananPelan
00:43:29.259,SEND,vision_cmd_topic,maju
00:43:29.842,SEND,vision_cmd_topic,putarKiriPelan
00:43:30.769,SEND,vision_cmd_topic,maju
00:43:31.960,SEND,vision_cmd_topic,putarKananPelan
00:43:32.842,SEND,vision_cmd_topic,putarKanan
00:43:32.985,SEND,vision_cmd_topic,majuPelan
00:43:33.063,SEND,vision_cmd_topic,putarKiriPelan
00:43:35.062,SEND,vision_cmd_topic,maju
00:43:35.538,SEND,vision_cmd_topic,putarKananPelan
00:43:35.994,SEND,vision_cmd_topic,putarKanan
00:43:36.604,SEND,vision_cmd_topic,majuPelan
00:43:36.876,SEND,vision_cmd_topic,putarKiriPelan
00:43:37.615,SEND,vision_cmd_topic,putarKiri
00:43:38.154,SEND,vision_cmd_topic,putarKiriPelan
00:43:40.005,SEND,vision_cmd_topic,maju
00:43:40.408,SEND,vision_cmd_topic,putarKananPelan
00:43:40.945,SEND,vision_cmd_topic,maju
00:43:41.540,SEND,vision_cmd_topic,berhenti
00:43:41.610,SEND,vision_cmd_topic,maju
00:43:41.694,SEND,vision_cmd_topic,berhenti
00:43:41.785,SEND,vision_cmd_topic,maju
